PARTICULARS (Million Frw),Mar-15,Jun-15,Sep-15,Dec-15,Mar-16,Jun-16,Sep-16,Dec-16,Mar-17,Jun-17,Sep-17,Dec-17,Mar-18,Jun-18,Sep-18,Dec-18,Mar-19,Jun-19,Sep-19,Dec-19,Mar-20,Jun-20,Sep-20,Dec-20,Mar-21,Jun-21,Sep-21,Dec-21,Mar-22,Jun-22,Sep-22,Dec-22,Mar-23
Gross Written Premium  ,"  13,299 ","  22,987 ","  34,058 ","  44,104 ","  14,698 ","  25,459 ","  37,263 ","  47,104 ","  15,738 ","  28,175 ","  41,567 ","  54,698 ","  16,915 ","  31,231 ","  49,652 ","  65,328 ","  18,663 ","  34,087 ","  52,436 ","  71,165 ","  19,579 ","  35,481 ","  56,744 ","  78,755 ","  24,321 ","  44,631 ","  70,534 ","  95,295 ","  28,814 ","  53,416 ","  82,563 ","  114,339 ","  35,308 "
Less: premium ceded to reinsurers (& coinsurers),"  (1,916)","  (4,232)","  (5,006)","  (8,230)","  (2,311)","  (4,079)","  (5,924)","  (8,554)","  (2,073)","  (4,573)","  (6,571)","  (10,304)","  (3,331)","  (6,120)","  (10,605)","  (14,103)","  (3,465)","  (6,917)","  (11,555)","  (16,409)","  (4,316)","  (8,705)","  (14,039)","  (19,666)","  (5,702)","  (11,663)","  (18,293)","  (26,427)","  (8,499)","  (15,928)","  (23,245)","  (37,481)","  (9,826)"
net_written_premiums ,"  11,382 ","  18,755 ","  29,053 ","  35,874 ","  12,387 ","  21,380 ","  31,340 ","  38,550 ","  13,665 ","  23,602 ","  34,996 ","  44,393 ","  13,584 ","  25,111 ","  39,046 ","  51,224 ","  15,198 ","  27,170 ","  40,881 ","  54,756 ","  15,263 ","  26,777 ","  42,705 ","  59,088 ","  18,619 ","  32,968 ","  52,241 ","  68,868 ","  20,314 ","  37,488 ","  59,319 ","  76,858 ","  25,482 "
Less: Variations in unearned premiums,"  (2,302)","  (1,798)","  (2,132)",  (773),"  (3,480)","  (2,256)","  (3,058)",  (150),"  (2,843)","  (2,326)","  (2,756)","  (1,549)","  (2,320)","  (2,160)","  (3,951)","  (2,984)","  (2,591)",  (411),"  (2,280)","  (2,433)",  (974),  (919),"  (2,561)","  (4,439)","  (3,775)","  (3,502)","  (5,901)","  (6,448)","  (3,157)","  (2,229)","  (5,904)","  (4,494)","  (4,307)"
net_earned_premiums ,"  9,081 ","  16,957 ","  26,920 ","  35,100 ","  8,907 ","  19,124 ","  28,282 ","  38,400 ","  10,822 ","  21,276 ","  32,239 ","  42,844 ","  11,265 ","  22,951 ","  35,095 ","  48,240 ","  12,607 ","  26,759 ","  38,601 ","  52,324 ","  14,289 ","  25,858 ","  40,144 ","  54,649 ","  14,844 ","  29,466 ","  46,340 ","  62,420 ","  17,157 ","  35,260 ","  53,415 ","  72,364 ","  21,175 "
Less: Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claims incurred ,"  (4,755)","  (10,754)","  (16,594)","  (23,409)","  (7,009)","  (15,799)","  (19,716)","  (25,473)","  (7,202)","  (15,012)","  (20,521)","  (27,365)","  (6,744)","  (13,675)","  (20,923)","  (27,271)","  (6,809)","  (14,770)","  (21,986)","  (29,269)","  (8,415)","  (14,501)","  (23,210)","  (32,388)","  (9,502)","  (18,637)","  (31,162)","  (39,035)","  (10,421)","  (20,217)","  (30,847)","  (43,343)","  (10,993)"
Underwriting expenses,  (433),"  (1,145)","  (1,952)","  (3,033)",  (823),"  (1,513)","  (2,761)","  (3,248)",  (730),"  (1,393)","  (2,225)","  (3,378)",  (999),"  (1,543)","  (2,955)","  (3,908)","  (1,313)","  (2,177)","  (3,165)","  (3,440)","  (1,147)","  (2,269)","  (3,185)","  (3,952)",  (961),"  (1,616)","  (2,719)","  (3,199)","  (1,138)","  (1,547)","  (2,094)","  (1,603)","  (1,036)"
Management expenses,"  (3,888)","  (7,752)","  (12,179)","  (18,508)","  (4,032)","  (9,094)","  (13,966)","  (20,268)","  (4,049)","  (8,312)","  (13,146)","  (18,157)","  (4,685)","  (9,148)","  (13,600)","  (18,020)","  (4,475)","  (9,112)","  (13,672)","  (20,080)","  (4,239)","  (8,577)","  (13,288)","  (19,459)","  (4,348)","  (9,814)","  (14,852)","  (21,594)","  (5,760)","  (11,818)","  (18,673)","  (27,485)","  (7,109)"
Other Expenses,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  (415),"  (1,416)",  (265),  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
