Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],,
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,88028,89253,90409,91516,92562,93566,94527,95426,96286,97118,,
"Population, total",SP.POP.TOTL,Argentina,ARG,40788453,41261490,41733271,42202935,42669500,43131966,43590368,44044811,44494502,44938712,,
"Population, total",SP.POP.TOTL,Aruba,ABW,101669,102046,102560,103159,103774,104341,104872,105366,105845,106314,,
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,354942,359577,363584,367168,370633,374206,377931,381761,385640,389482,, 
"Population, total",SP.POP.TOTL,Barbados,BRB,282131,282987,283700,284296,284825,285324,285796,286233,286641,287025,,
"Population, total",SP.POP.TOTL,Belize,BLZ,322464,330237,338000,345715,353366,360933,368400,375769,383071,390353,,
"Population, total",SP.POP.TOTL,Bolivia,BOL,10048590,10212954,10377676,10542376,10706517,10869730,11031813,11192854,11353142,11513100,,
"Population, total",SP.POP.TOTL,Brazil,BRA,195713635,197514534,199287296,201035903,202763735,204471769,206163058,207833831,209469333,211049527,,
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,27794,28319,28650,28847,28989,29152,29355,29577,29802,30030,,
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,56672,57878,58958,59932,60848,61724,62569,63382,64174,64948,,
"Population, total",SP.POP.TOTL,Chile,CHL,17062536,17233576,17400347,17571507,17758959,17969353,18209068,18470439,18729160,18952038,,
"Population, total",SP.POP.TOTL,Colombia,COL,45222700,45663099,46076848,46497267,46969209,47520667,48171392,48901066,49648685,50339443,,
"Population, total",SP.POP.TOTL,Costa Rica,CRI,4577378,4633086,4688000,4742107,4795396,4847804,4899345,4949954,4999441,5047561,,
"Population, total",SP.POP.TOTL,Cuba,CUB,11225832,11236670,11257101,11282720,11306902,11324781,11335109,11339259,11338138,11333483,,
"Population, total",SP.POP.TOTL,Curacao,CUW,148703,150831,152088,153822,155909,157980,159664,160175,159800,157538,,
"Population, total",SP.POP.TOTL,Dominica,DMA,70878,70916,70965,71016,71085,71183,71307,71458,71625,71808,,
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,9695121,9813210,9930911,10048224,10165178,10281680,10397743,10513131,10627165,10738958,,
